agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2020,"CIO Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2020,"Budget Authority",0
006,"Department of Commerce",006-07-0450-0,"Periodic Censuses and Programs",2020,"Funding Total",1895.157235
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2020,"CIO Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2020,"Budget Authority",0
006,"Department of Commerce",006-25-1250-0,"Operations and Administration",2020,"Funding Total",46.642207
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-07-4512-0,"Census Working Capital Fund",2020,"Funding Total",291.828286
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2020,"CIO Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2020,"Budget Authority",0
006,"Department of Commerce",006-40-0201-0,"Minority Business Development",2020,"Funding Total",4.281005
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2020,"CIO Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2020,"Budget Authority",0
006,"Department of Commerce",006-48-1460-0,"Procurement, Acquisition and Construction",2020,"Funding Total",94.101834
006,"Department of Commerce",006-60-8233-0,"Public Safety Trust Fund",2020,"CIO Authority",0
006,"Department of Commerce",006-60-8233-0,"Public Safety Trust Fund",2020,"Budget Authority",0
006,"Department of Commerce",006-60-8233-0,"Public Safety Trust Fund",2020,"Funding Total",10.650415
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-06-0125-0,"Salaries and Expenses",2020,"Funding Total",1.3777
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-51-1006-0,"Salaries and Expenses",2020,"Funding Total",316.262053
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2020,"CIO Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2020,"Budget Authority",0
006,"Department of Commerce",006-60-0550-0,"Salaries and Expenses",2020,"Funding Total",14.021073
