agencyCode,agencyName,currentUII,investmentName,investmentType,ratedDate,cioRating,comment,latestIndicator,updatedTime
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2022-10-19,3,"Dissemination responsibility includes promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives.  Notable Accomplishments:  Completed RIDGE Performance Improvement Project.  SCN issued for National Viewer into Operations. Reached final Operating Capability of the NWS Enterprise GIS National Viewer. The investment is rated a 3 due to the risk profile and issues.",N,"2022-10-20 17:08:16"
006,"Department of Commerce",006-000000093,"ITA Application (APP)","Standard IT Investments",2021-09-29,3,"A standard investment to maintain budgetary spending for application development, application support & operations, business software, as well as maintenance. Completed modernization of 274 legacy application products and services.",N,"2021-09-29 09:04:26"
006,"Department of Commerce",006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).","Major IT Investments",2021-09-28,3,"The Program and the CEDSCI EDDE IT Platform project are dedicated to using customer feedback to develop innovative ways to improve customer with improved data and product displays, searches, and downloads accessible from census.gov and on mobile devices. Accomplishments: Sprint 38.3 is Sprint 38.4 is 100% Complete.  Released 7 datasets to data.census.gov.  CEDSCI is up-to-date on Project Activities, Operational Metrics, and the Risk Register. The investment still has a risk exposure  and the method for tracking progress is just being finalized. ",N,"2021-11-30 18:38:20"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).","Major IT Investments",2022-03-29,4,"CLASS is the designated primary archive for most of NOAA environmental data sets. CLASS accomplishments for this month include: Completed code reviews and unit testing for Release 8.3. Performance metrics: Added 15.12M new catalog files to the archive in February 2022, exceeding the 11M files target. All (100%) actual technical issue responses exceeded the 95% target of responding within two business days of request, exceeding metric. The investment is executing as expected.",N,"2022-03-29 16:41:08"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2021-11-30,3,"Dissemination responsibility includes promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives. Accomplishments: 1. Successfully begin NWSChat/Slack Demonstration NWS Southern Region sites, 2. Successfully completed documentation (Test Plan, Baseline Configuration, Design & Interface) for IP Radio 1 hop, 3. Shared NWS Partner Engagement Toolkit vLab site for review with the regions.  The investment is rated a 3 due to the risk profile and issues. ",N,"2021-12-06 14:02:23"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Major IT Investments",2023-02-24,4,"The Geographic Support Program (GSP) investment supports the integrated and automated computer-based geographic support system crucial to all censuses and household surveys. The investment continues to provide the Census address list, maps, geographic reference files, and processing systems to meet the geographic requirements of all Census Bureau programs and operations. Accomplishments: GSP provides address data dumps and spatial extract files to Listing and Mapping Address to assist Census with the most accurate geographic files. Delivered address data dump and spatial extract files to Listing and Mapping Address (LiMA). The investment is progressing as expected.",N,"2023-02-28 16:44:55"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Major IT Investments",2022-01-27,3,"Dissemination responsibility includes promoting increased accessibility, interoperability, and stewardship of NOAA data, leading, delivering, and coordinating NWS contribution to NOAA, DOC, and Administration data dissemination initiatives. Accomplishments: NWSChat Medium Term Go Live successfully completed on IDP. Successfully completed Demonstration Data Analysis of NWSChat Long Term COTS. Successfully completed Rollout NWR Processes and Case Studies/Success Stories documentation to Regions (vLab Site).  The investment is rated a 3 due to the risk profile and issues.",N,"2022-01-27 15:58:28"
006,"Department of Commerce",006-000000119,"OS OCIO IT Infrastructure (OITS) Delivery","Standard IT Investments",2023-03-23,4,"OS CIO continue to provide service delivery, which entails collaboration with the customer to improve the quality of products and services that utilize network and web-resources to deliver consistent, reliable, and dependable platforms that assist in fulfilling the customers business needs and expansion of customer experience efforts. In addition, provides system administration and service desk functionality to enhance customer experience. This investment is progressing as expected. ",Y,"2023-03-23 16:11:23"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)","Standard IT Investments",2022-10-21,5,"This investment continues to support the provisioning of enterprise-wide data center and/or cloud capabilities.  Investment is progressing as expected. ",N,"2022-10-24 11:01:29"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Major IT Investments",2021-09-29,4,"The CBS program is an integrated financial management system that continues to be used throughout the Department of (DOC).  Accomplishments:  G-Invoicing: G-Invoicing:  Continued analyzing the system updates and updating any training materials and SOP's for identified changes.  Established the production admin account in G-Invoicing.  The development of CBS changes continued. System is currently undergoing an assessment. The program is progressing on track.",N,"2021-09-29 11:15:27"
