agencyCode,agencyName,currentUII,investmentName,contractPIID,referencePIID,updatedTime
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1333ND23FNB180038,1333ND23FNB180038,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)","BusinessObjects Support","BusinessObjects Support","2023-03-09 07:48:51"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1333LB23F00000101,,"2023-09-14 17:24:50"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L522FNB180385,1331L522FNB180385,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ20FNEEG0068,NNG15SD09B,"2023-07-27 07:49:13"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ21FNEEG0067,NNG15SD60B,"2023-07-27 07:49:11"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180001,1333ND22FNB180001,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180284,1333ND22FNB180284,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L521FNB180245,1331L521FNB180245,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000035500,"Commerce IT Policy and Enterprise Technology (formerly Commerce Office of IT Policy and Planning OITPP)",1331L522F13OS0442,1331L522F13OS0442,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line",1333BJ20P00280007,P23009,"2023-09-14 17:24:51"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND22FNB180183,1333ND22FNB180183,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L522FNB180124,1331L522FNB180124,"2023-03-09 07:55:13"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21PNB180156,1333ND21PNB180156,"2023-03-09 07:55:16"
006,"Department of Commerce",006-000352100,"NOAA/NOAA/ NOAA IT Security (parent)"," 47QTCA19D001S/1305M422FNAAJ0083"," 47QTCA19D001S/1305M422FNAAJ0083","2023-02-22 07:01:12"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line",1333BJ21F00284008,P23004,"2023-03-14 07:13:34"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L522FNB180293,1331L522FNB180293,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1331L522FNB180205,1331L522FNB180205,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000052500,"Commerce IT Management (CIM)",1331L522F13OS0442,1331L522F13OS0442,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21PNB180392,1333ND21PNB180392,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L521C13OS0005,1331L521C13OS0005,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180234,1333ND21FNB180234,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",1332KQ19PNEEG0008,,"2023-07-27 07:49:12"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180264,1333ND21FNB180264,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180436,1331L521FNB180436,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000035000,"Commerce IT Security Components (formerly Components of DOC IT Security)",1331L521F13OS0144,1331L521F13OS0144,"2023-02-27 08:10:58"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21PNB180244,1333ND21PNB180244,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180240,1331L521FNB180240,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000804900,"USPTO IT Security and Compliance (ITSC)",1333BJ21C00280001,P23012,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000035500,"Commerce IT Policy and Enterprise Technology (formerly Commerce Office of IT Policy and Planning OITPP)",1331L520F13OS0773,1331L520F13OS0773,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000702500,"NIST IT Security",1333ND22FNB180273,1333ND22FNB180273,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000052500,"Commerce IT Management (CIM)",1331L522F13OS0606,1331L522F13OS0606,"2023-03-07 15:07:35"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23FNB180069,1333ND23FNB180069,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line",1333BJ20P00282004,P22002,"2023-03-14 07:13:34"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22PNB180274,1333ND22PNB180274,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line",1333BJ21F00284009,P23006,"2023-06-27 10:58:37"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22FNB180079,1333ND22FNB180079,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22PNB180014,1333ND22PNB180014,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180042,1333ND23FNB180042,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180262,1333ND21FNB180262,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000702500,"NIST IT Security",1331L522FNB180211,1331L522FNB180211,"2023-03-09 07:48:49"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180325,1333ND21FNB180325,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180089,1333ND21FNB180089,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000404100,"Census - 2030 Decennial Census FY 2022 - FY 2024",1333LB23C00000010,,"2023-07-27 07:39:41"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180310,1331L521FNB180310,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND22PNB180438,1333ND22PNB180438,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND23FNB180037,1333ND23FNB180037,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21PNB180392,1333ND21PNB180392,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180005,1333ND22FNB180005,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination",1305L222FNWWJ0082/47QTCB21D0301,1305L222FNWWJ0082/47QTCB21D0301,"2023-03-07 14:58:53"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND22FNB180274,1333ND22FNB180274,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000114,"NIST Data Center and Cloud (DCC)",1333ND23FNB180087,1333ND23FNB180087,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND21FNB180022,1333ND21FNB180022,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1331L521FNB180373,1331L521FNB180373,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1331L518FNB180101,1331L518FNB180101,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line",1333BJ21F00280042,P22003,"2023-09-14 17:25:04"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND21FNB180151,1333ND21FNB180151,"2023-03-09 07:48:52"
006,"Department of Commerce",006-000000082,"USPTO Delivery (DEL)",1333BJ21C00280005,P22003,"2023-02-22 07:01:12"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180105,1333ND22FNB180105,"2023-03-09 07:48:55"
006,"Department of Commerce",006-000041600,"Commerce Enterprise Services- Enabling Technology",1331L520F13ES0264,1331L518A13ES0020,"2023-03-30 07:25:59"
006,"Department of Commerce",006-000000134,"NIST Platform (PL)",1333ND23FNB180025,1333ND23FNB180025,"2023-03-09 07:48:50"
006,"Department of Commerce",006-000000132,"NIST Application (APP)",1333ND22FNB180214,1333ND22FNB180214,"2023-03-09 07:48:51"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1333ND23FNB180060,1333ND23FNB180060,"2023-03-09 07:55:14"
006,"Department of Commerce",006-000708100,"NIST Mission IT Support",1331L521FNB180176,1331L521FNB180176,"2023-03-09 07:55:15"
006,"Department of Commerce",006-000000117,"NIST Network (NET)",1333ND21FNB180131,1333ND21FNB180131,"2023-03-09 07:48:54"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1331L522FNB180236,1331L522FNB180236,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180406,1333ND22FNB180406,"2023-03-09 07:48:53"
006,"Department of Commerce",006-000000116,"NIST End User (EU)",1333ND22FNB180040,1333ND22FNB180040,"2023-03-09 07:48:53"
