agencyCode,agencyName,bureauCode,currentUII,investmentTitle,date,analysisResults,analysisConclusion,updatedTime
006,"Department of Commerce",07,006-000400700,"Census - Economic Census and Surveys",2020-12-08,"Investment submitted an updated Operational Analysis for 4th quarter of FY2020.","continue as-is","2021-09-29 10:34:35"
006,"Department of Commerce",07,006-000400700,"Census - Economic Census and Surveys",2023-01-17,"Innovative assessments and technologies will be leveraged to enhance data gathering, processing, and analytics in ECON systems and applications.","continue as-is","2023-01-30 14:24:29"
006,"Department of Commerce",07,006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).",2022-12-12,"Review of dissemination operational and program objectives, operational performance metrics and the requirements for the Center for Enterprise Dissemination Services and Consumer Innovation (CEDSCI), resulted in the decision to continue to develop and enhance the systems. Data from the CEDSCI platform (EDDE) is currently accessible at data.census.gov and api.census.gov/data. All data has been onboarded by the CEDSCI team via data providers. The platform also supports other US Census Bureau (USCB) data applications like PopClock and Census Business Builder. ","continue as-is","2023-01-30 14:24:24"
006,"Department of Commerce",51,006-000805600,"USPTO Trademarks Product Line",2022-12-13,"USPTO continues its long-term efforts to replace legacy IT systems and promote greater efficiency in examination by leveraging and developing new tools to automate appropriate processes with user-driven inputs and prioritization. 
The USPTO continues to invest its resources in stabilizing and modernizing its IT infrastructure.  The continued funding of this investment continues to pay dividends, from enhanced systems and solutions availability to increased customer satisfaction. To sustain this progress, the USPTO will continue to fund more modern infrastructure and innovative solutions to enable the enterprise-wide IT Stabilization and Modernization solutions.
Through thoughtful strategy and planning, USPTO will have the ability to make significant progress on its deployment of new enhancements and capabilities, while stabilizing and securing the entire system.","continue as-is","2023-01-30 08:42:39"
006,"Department of Commerce",07,006-000402400,"Census - 2020 Decennial Census, FY 2019 - FY 2023",2021-12-31,"This investment is in the process of closing out and is scheduled to be fully decommissioned by the end of FY23.","initiate disposal action","2022-03-15 12:15:24"
006,"Department of Commerce",48,006-000313000,"NOAA/NWS/ NWS Central Processing ",2021-11-22,"Operational metrics are consistently meeting targets.

AWIPS Customer Results - Service Restoration Level 1
   FY2021 Baseline - 90%
   FY2021 Actual - 97.67%

NCEP WCOSS System Availably
   FY2021 Baseline - 99%
   FY2021 Actual  - 99.69%","continue as-is","2022-01-26 08:27:09"
006,"Department of Commerce",48,006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",2022-11-29,"The CLASS FY 2022 Operational Analysis was submitted on November 29, 2022.  In FY2022 CLASS users consumed over 8.2PB of data.  The team consistently met and exceeded monthly targets. FY2022 the number of unique consumers grew by 32% over the previous year primarily in the Commercial & Gmail and International sectors.  The system up time = 95%.  We recommend continuing the investment until a cloud based replacement is ready.","continue as-is","2023-01-30 08:32:08"
006,"Department of Commerce",07,006-000400900,"Census - Geographic Support Program (GSP)",2020-12-01,"Operational Analysis Completed December 2020","continue as-is","2021-09-29 10:34:37"
006,"Department of Commerce",00,006-000051000,"OS OFM Commerce Business Systems (CBS)",2022-12-13,"CBS finalized interface changes and trained employees on G-Invoicing functionality in order to meet the Treasury mandate for implementation on October 1, 2022.  CBS also implemented Unique Entity Identifier (UEI) functionality to meet the GSA mandate to replace the current Data Universal Numbering System (DUNS) number with a new identifier, called the unique entity identifier.  The UEI is a unique number assigned to all entities (public and private companies, individuals, institutions, or organizations) who register to do business with the federal government.  CBS continued operations and maintenance activities to ensure security and patching updates were made on a timely basis.  Additionally, CBS supported the financial audit with a result of the 24th year of a clean audit opinion, and this year there were no material weaknesses or significant deficiencies.  CBS will continue operations and maintenance in FY23.","continue as-is","2023-01-30 08:37:43"
006,"Department of Commerce",07,006-000400900,"Census - Geographic Support Program (GSP)",2021-12-01,"After analyzing our operational performance metrics and the ongoing requirements for the GS Program, the decision is to continue to utilize the systems that the program has used this past year. These systems continue to be successful in providing updates to the U.S. Census Bureau Master Address File Topologically Integrated Geographic Encoding and Referencing MAF TIGER System, which is used to provide the address frame and spatial data for numerous censuses and surveys, including the Decennial Census, the American Community Survey, and the Economic Census.","continue as-is","2022-01-26 07:37:53"
006,"Department of Commerce",51,006-000805700,"USPTO Enterprise Business Product Line",2022-09-30,"The USPTO continues to invest its resources in stabilizing and modernizing its IT infrastructure.  This investment delivered approximately 95% of value to end users and stakeholders during FY22.   from enhanced and secure systems solutions and availability, access and utilization, access to data for better decision making,  to increased customer satisfaction.  To further modernization and sustainment, recommend the USPTO continue to fund this investment to enable the collective enterprise wide IT Stabilization and Modernization roadmap.","continue as-is","2023-01-30 08:42:39"
006,"Department of Commerce",07,006-000400800,"Census - Field Support Systems",2021-12-03,"Review of operational performance metrics resulted in the decision to continue reporting current items, which support current processes and procedures in practice by field representatives.","continue as-is","2022-01-26 07:37:54"
006,"Department of Commerce",30,006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)",2023-03-10,"The Bureau of Industry and Security (BIS) has a key role, within the context of a whole of government approach in addressing the threats of our foreign adversaries including diversion of dual use technologies to military uses; theft of intellectual property; human rights abuses; and anti-competitive, unfair and coercive trade practices. 

While the export community is relatively small, its impacts to the public are significant. Given the Russia-Ukraine conflict and ongoing tensions with China, we have been called upon to do more. 

There are mission-critical needs to better coordinate and exchange data on license applicants and potential export violators with our US government partners but also develop advanced data sharing and analytics capabilities with our international partners such as Canada and the European Union.  

Within the past year, the Bureau has repositioned its CIO office to focus on technology modernization for both BIS employees and their customers. The first priority is on platform migrations to move systems from legacy on premise data centers into the cloud for data sharing across systems and agency partners. The next priority is to meaningfully integrate design and innovation practices into product development. This includes elevating the voice of BIS customers by standing up a design-led customer experience organization with data and analytics capabilities that enable BIS to proactively respond to internal and external customer needs.  

The CUESS system continues to provide significant value to the exporting community.  Current Metrics meet customer and financial goals with results representing effectiveness of program as a measure of user efficiency and customer shipping authorizations as determined and issued by BIS. It has immediate impact on customer satisfaction as it determines what, where, and when for exporting conditions if approved. An ineffective technical licensing posture would impact global exports of licensed products, weaken the collaborative inter-agency license adjudication process, and cause additional storage cost and lost revenue to American businesses. 

BIS is currently in the process of migrating its CUESS suite of applications to the Microsoft Azure cloud. This is expected to be completed by the third quarter. 

Beginning in the third quarter of FY 2023, BIS plans to initiate modernization efforts to redesign the CUESS suite of applications using native cloud-based technologies.","continue as-is","2023-06-05 16:18:54"
006,"Department of Commerce",48,006-000312900,"NOAA/NWS/ Dissemination",2020-10-02,"IDP is functionally at 99% availability for FY2020.
As IDP is reaching capacity, the Dissemination program has begun exploring cloud opportunities through the NOAA Office of the Chief Information Officer (OCIO). ","initiate remediation action","2021-09-29 10:34:34"
006,"Department of Commerce",07,006-000400100,"Census - American Community Survey (ACS)",2020-11-30,"Operational Analysis Completed November 2020","continue as-is","2021-09-29 10:34:36"
006,"Department of Commerce",48,006-000320500,"NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS).",2021-11-08,"The CLASS FY 2021 Operational Analysis was submitted on November 8, 2021.  In FY2021 CLASS users consumed over 7.9PB of data.  The team consistently met and exceeded monthly targets including file availability of 9 million, less than six unplanned maintenance events, system up time of 95% and responded within four hours to questions from users 100%.  We recommend continuing the investment until a cloud based replacement is ready.
","continue as-is","2022-01-26 08:27:09"
006,"Department of Commerce",07,006-000403900,"Census - Center for Enterprise Dissemination Services and Consumer Information (CEDSCI).",2020-12-08,"Operational Analysis Completed December 2020","continue as-is","2021-09-29 10:34:33"
006,"Department of Commerce",51,006-000805500,"USPTO Patents Product Line",2021-09-30,"The USPTO continues to invest its resources in stabilizing and modernizing its IT infrastructure.The continued funding of this investment continues to pay dividends, from enhanced systems and solutions availability to increased customer satisfaction. To sustain this progress, the USPTO should continue to fund more modern infrastructure and innovative solutions to enable the enterprise wide IT Stabilization and Modernization solutions.
The agile nature of this investment ensures continuous process improvement. Metrics are used as milestones to make sure the investment is on track.Therefore, there is a need to review metrics on an ongoing basis. The PPL leadership team conducts regular metric reviews on a monthly and annual basis.
","continue as-is","2022-01-26 09:02:05"
006,"Department of Commerce",07,006-000402400,"Census - 2020 Decennial Census, FY 2019 - FY 2023",2020-12-31,"Operational Analysis Completed December 2020.","continue as-is","2021-09-29 10:34:33"
