agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Data ingest failures occur on less than 10% of total operational days","Strategic and Business Results",Percentage,Quarterly,10,"Under target",10,10,2023-06-30,0,MET,false,"2023-07-27 07:43:56"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Average Customer Satisfaction = Total Customer Satisfaction Survey Scores/Total # Customer Satisfaction Surveys Submitted
","Customer Satisfaction",Number,Quarterly,3.5,"Over target",3.5,3.5,2023-06-30,71,MET,false,"2023-07-27 07:43:55"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Decommission Windows 2012-2016 servers Trademark Product Line servers","Strategic and Business Results","Unit count",Annual,32,"Over target",32,,,,,false,"2022-10-24 10:05:47"
006,"Department of Commerce",006-000000165,"OS OFM Commerce Business Applications Solution (BAS) V2","The total expected ticket resolution time (from ticket open to ticket closure / resolution) for the BAS Program Help Desk; tickets handled by BAS PMO.","Strategic and Business Results",Days,Quarterly,3,"Under target",3,3,2023-06-30,2,MET,false,"2023-07-27 07:51:55"
006,"Department of Commerce",006-000312900,"NOAA/NWS/ Dissemination","Percentage of monitoring requests for Model Analysis and Guidance (MAG) website that succeed without error for College Park (Primary) and Boulder (Backup)","Customer Satisfaction",Percentage,Monthly,99,"Over target",99,99,2023-08-31,99.9,MET,false,"2023-09-14 17:22:03"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Implement cloud cost control measures on more than 90% of onboarded customer projects
","Financial Performance",Percentage,Quarterly,90,"Over target",90,90,2023-06-30,100,MET,false,"2023-07-27 07:43:54"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Percentage of respondents from the reporting universe for the Boundary Annexation Survey (BAS)","Customer Satisfaction",Percent,Annual,80,"Over target",85,85,2022-09-30,85.2,MET,false,"2022-10-17 10:26:11"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","Percentage of  imagery acquired and received is tested and ingested  into Geography Division s Imagery Service within 90 days of receipt.","Strategic and Business Results",Percent,Monthly,80,"Over target",80,80,2023-08-31,100,MET,false,"2023-09-14 17:21:59"
006,"Department of Commerce",006-000400900,"Census - Geographic Support Program (GSP)","85% of customer requested geospatial products are delivered on or before the baseline schedule that is within the Division's control.","Customer Satisfaction",Percent,Quarterly,85,"Over target",85,85,2023-06-30,100,MET,false,"2023-07-27 07:43:52"
006,"Department of Commerce",006-000552000,"BIS Commerce USXPORTS Exporter Support System (CUESS)","Work item registrations (Export, Re-export, MCD, AGR, SCL, CCATS, encryptions) processed weekly, divided by number of staff.","Strategic and Business Results",Number,Quarterly,10,"Over target",11,,2023-07-02,10.51,"NOT MET",false,"2023-07-27 07:37:50"
